Counter,Characteristic Value,Counter
160,AIR_HAND_MACHINE_TOOLS,65
161,FILTERS,65
162,FIRE_PROTECTION,65
163,HARDWARE,65
164,INSULATION_MATERIALS,65
165,MEDICAL_EQUIP_PRODUCTS,65
166,METAL_SCREEN_MATERIALS,65
167,POWER_TRANSMISSION_BELTS,65
168,SAFETY_SUPPLIES,65
169,STORAGE_MATERIALS,65
170,STUDS_NUTS,65
171,UNIFORMS_CLOTHING,65
172,WELDING_CONSUMABLES,65
173,"BEARINGS_BUSHING,_WHEELS_GEARS",65
174,GASKETS_SEALS_PACKING,65
175,LABORATORY_EQUIPMENT_SUPPLIES,65
176,PAINTS_PRIMERS_FINISHES,65
177,ROPES_CHAINS_WIRE_ROPE__STRAPS,65
178,TUBE_TUBING_FITTINGS,65
179,PIPING_COMPONENTS,66
180,VALVES_AUTOMATION,66
181,WEAR_PRODUCTS,66
182,MANUAL_VALVES_,66
183,STEEL_AND_PVF_-_UNCLASSIFIED,66
184,WELDING_AND_FABRICATION,66
185,ALLOY_STEEL_PRODUCTS,66
186,PIPES,66
187,AGGREGATE_GRAVEL_CONCRETE,67
188,CIVIL_WORKS_UNCLASSIFIED,67
189,HEAVY_LIGHT_CIVIL_EARTHWORK,67
190,THIRD_PARTY_MINING_RENTALS,67
191,DRILLING_BLASTING,67
192,FUEL_TRUCKS_PARTS,68
193,GRADERS_PARTS,68
194,GROUND_ENGAGING_TOOLS,68
195,HAUL_TRUCKS_PARTS_MTCE,68
196,MINE_EQUIPMENT_LEASES,68
197,MINING_EQUIP_PARTS,68
198,MINING_EQUIP_REPAIR_SERVICES,68
199,MINING_EQUIP_UNCLASSIFIED,68
200,ROAD_CONSTRUCTION_EQUIP,68
201,SUPPORT_MINING_EQUIP_PART_MTCE,68
202,TIRES_PURCHASE_MTCE_RECYCLE,68
203,TRAX_PARTS_MTCE,68
204,WATER_TRUCK_PARTS,68
205,CABLE_SHOVELS_PARTS_MTCE,68
206,HVAC_SYSTEM_PARTS_MOBILE_EQUIP,68
207,HYDRAULIC_SHOVELS_PARTS_MTCE,68
208,ELECTRIC,101
209,NATURAL_GAS,101
210,STEAM,101
211,UTILITY_UNCLASSIFIED,101
212,WATER,101
213,AVIATION_SERVICES,3
214,FACILITY_MATERIALS,3
215,FACILITY_SERVICES,3
216,FLEET_FLEET_PARTS,3
217,FREIGHT_TRANSPORTATION,3
218,GROUND_TRANSPORTATION,3
219,LODGING,3
220,TRAVEL_ENTERTAINMENT,3
221,AIRCRAFT_MTCE_INSTRUMENT,213
222,SUNCOR_OWNER_AIRCRAFT,213
223,AVIATION_CHARTER_SERVICES,213
224,AVIATION_GROUND_SUPPORT,213
225,CEMENTING_SERVICES,70
226,DIRECTIONAL_DRILLING,70
227,DRILL_COMPLETION_SUPPORT_SERV,70
228,DRILLING_RIGS,70
229,DRILLING_SERVICE_UNCLASSIFIED,70
230,INTEGRATED_DRILLING_SERVICES,70
231,SEISMIC,70
232,SERVICE_RIGS,70
233,TUBULAR_INSPECTIONS,70
234,WELL_HEADS,70
235,WELL_LOGGING_WIRELINE,70
236,WELL_TESTING,70
237,CASING_TUBING_ACCESSORIES_SERV,70
238,DRILLING_COMPLETIONS_FLUIDS,70
239,DRILL_COMPLETIONS_CONSULTANTS,70
240,DOWN_HOLE_TOOLS_AND_SERVICES,70
241,DOWN_HOLE_INSTRUMENTATION_SERV,70
242,FURNITURE_FURNISHING,214
243,KITCHEN_SUPPLIES,214
244,OFFICES_SUPPLIES,214
245,SECURITY_EQUIPMENT,214
246,SIGNS_TAGS,214
247,TRAILERS_PREFABRICATED_BLDGS,214
248,CLEANING_JANITORIAL,214
249,BUILDING_LEASE,215
250,BUILDING_SUBLEASE,215
251,CAFETERIA_REFRESHMEN_SERVICES,215
252,FACILITY_BUILDING_REPAIR_MTCE,215
253,FENCING_SERVICES,215
254,JANITORIAL,215
255,PORTABLE_TOILETS,215
256,SECURITY_SURVEILLANCE,215
257,OFFICE_SERVICES,215
258,TRANSITIONAL_HOUSING,215
259,FLEET_PARTS_AND_MAINTENANCE,216
260,INDUSTRIAL_TRANSPORT_EQUIP,216
261,LEASE_VEHICLES_FLEET_MGMT,216
262,LIGHT_VEHICLE_FLEET,216
263,AIR_FREIGHT,217
264,BULK_TRUCKING,217
265,COURIER_SERVICES,217
266,CUSTOMS_BROKERAGE,217
267,LEASED_TRANSPORTATION_EQUIP,217
268,OCEAN,217
269,RAIL,217
270,RIG_MOVES,217
271,TRUCKING,217
272,THIRD_PARTY_LOG_WAREHOUSING,217
273,BUSING,218
274,SUNCOR_OWNED_LODGING,219
275,THIRD_PARTY_LODGING,219
276,EVENTS_PLANNING,220
277,HOTELS,220
278,MEETING_FACILITIES,220
279,RENTAL_PASSENGER_VEHICLES,220
280,TRAVEL_SERVICES,220
281,COMMERCIAL_AIRLINES,220
282,CORP_ENTERTAINMENT_TRAVEL,220
283,N/A_SUBCATEGORY,102
284,FINANCIAL_SERVICES,108
285,INSURANCE,108
286,LEGAL,108
287,PAYROLL,108
288,PROFESSIONAL_UNCLASSIFIED,108
289,TRAINING,108
290,EMPLOYEE_REWARDS,108
291,HR_CONSULTING,108
292,MANAGEMENT_CONSULTING,108
293,RECRUIT_SER_STAFF_AUGMENTATION,108
294,EMPLOYEE_RELOCATION_SERVICES,108
295,EMPLOYEE_BENEFITS,108
296,CORPORATE_DATA_ANALYTICS,108
297,EHS_CONSULTING_,108
298,LAND_MGMT_CONSULTING,108
299,EHS_SPECIALTY_SERVICES,108
300,EHS_UNCLASSIFIED,108
301,HEALTH_SERVICES_TESTING,108
302,WILDLIFE_SAFETY,108
303,INFO_SERV_UNCLASSIFIED,106
304,DATA_STORAGE_SERVICES,107
305,OUTSOURCE_INFRASTRUCTURE_SERV,107
306,RECORDS_MANAGEMENT,107
307,OUTSOURCED_APPLICATION_SERV,107
308,PRINTER_HARDWARE_AND_SERVICES,107
309,IT_SPECIALTY_SERV,107
310,IT_HARDWARE_SOFTWARE_RESELLER,113
311,LUBES_BLENDING_PACKAGING,111
312,MARKETING_ADVERTISING,111
313,MARKETING_UNCLASSIFIED,111
314,RETAIL_CONSUMER_GOODS,111
315,RETAIL_OPERATIONS,111
316,RETAIL_WHOLESALE_DESIGN_BUILD,111
317,RETAIL_WHOLESALE_EQUIPMENT,111
318,RETAIL_WHOLESALE_MAINTENANCE,111
319,RETAIL_WHOLE_REMEDIATION_SERV,111
320,DATA_SUBSCRIPTIONS_MEMBERSHIPS,109
321,HIGH_RISK_SOFTWARE,109
322,LOW_RISK_SOFTWARE,109
323,CLOUD_BASED_SOFTWARE,109
324,TWO_WAY_RADIO_EQUIP_SERVICES,112
325,TELE_VOICE_DATA_MOBILITY_SERV,112
326,HIGH_RISK_NETWORK_PRODUCT_SERV,112
327,LOW_RISK_NETWORK_PRODUCT_SERV,112
328,NETWORK_INSTALL_AND_MTCE,112
329,SYS_INTEGRATORS_PROJECT_SERV,110
